menu,api_name,api_id,method,url,tr_real,tr_mock
[국내주식] 주문/계좌,주식주문(정정취소),v1_국내주식-003,POST,/uapi/domestic-stock/v1/trading/order-rvsecncl,TTTC0013U,VTTC0013U
[국내주식] 주문/계좌,주식주문(현금),v1_국내주식-001,POST,/uapi/domestic-stock/v1/trading/order-cash,(매도) TTTC0011U (매수) TTTC0012U,(매도) VTTC0011U (매수) VTTC0012U
[국내주식] 주문/계좌,주식통합증거금 현황,국내주식-191,GET,/uapi/domestic-stock/v1/trading/intgr-margin,TTTC0869R,모의투자 미지원
[국내주식] 주문/계좌,퇴직연금 매수가능조회,v1_국내주식-034,GET,/uapi/domestic-stock/v1/trading/pension/inquire-psbl-order,TTTC0503R,모의투자 미지원
[국내주식] 주문/계좌,퇴직연금 미체결내역,v1_국내주식-033,GET,/uapi/domestic-stock/v1/trading/pension/inquire-daily-ccld,"TTTC2201R(기존 KRX만 가능), TTTC2210R (KRX,NXT/SOR)",모의투자 미지원
[국내주식] 주문/계좌,퇴직연금 예수금조회,v1_국내주식-035,GET,/uapi/domestic-stock/v1/trading/pension/inquire-deposit,TTTC0506R,모의투자 미지원
[국내주식] 주문/계좌,퇴직연금 잔고조회,v1_국내주식-036,GET,/uapi/domestic-stock/v1/trading/pension/inquire-balance,TTTC2208R,모의투자 미지원
[국내주식] 주문/계좌,퇴직연금 체결기준잔고,v1_국내주식-032,GET,/uapi/domestic-stock/v1/trading/pension/inquire-present-balance,TTTC2202R,모의투자 미지원
[국내주식] 주문/계좌,투자계좌자산현황조회,v1_국내주식-048,GET,/uapi/domestic-stock/v1/trading/inquire-account-balance,CTRP6548R,모의투자 미지원
[해외주식] 기본시세,해외결제일자조회,해외주식-017,GET,/uapi/overseas-stock/v1/quotations/countries-holiday,CTOS5011R,모의투자 미지원
[해외주식] 기본시세,해외주식 기간별시세,v1_해외주식-010,GET,/uapi/overseas-price/v1/quotations/dailyprice,HHDFS76240000,HHDFS76240000
[해외주식] 기본시세,해외주식 복수종목 시세조회,해외주식 복수종목 시세조회,GET,/uapi/overseas-price/v1/quotations/multprice,HHDFS76220000 ,미지원 
[해외주식] 기본시세,해외주식 상품기본정보,v1_해외주식-034,GET,/uapi/overseas-price/v1/quotations/search-info,CTPF1702R,모의투자 미지원
[해외주식] 기본시세,해외주식 업종별시세,해외주식-048,GET,/uapi/overseas-price/v1/quotations/industry-theme,HHDFS76370000,모의투자 미지원
[해외주식] 기본시세,해외주식 업종별코드조회,해외주식-049,GET,/uapi/overseas-price/v1/quotations/industry-price,HHDFS76370100,모의투자 미지원
[해외주식] 기본시세,해외주식 종목/지수/환율기간별시세(일/주/월/년),v1_해외주식-012,GET,/uapi/overseas-price/v1/quotations/inquire-daily-chartprice,FHKST03030100,FHKST03030100
[해외주식] 기본시세,해외주식 체결추이,해외주식-037,GET,/uapi/overseas-price/v1/quotations/inquire-ccnl,HHDFS76200300,모의투자 미지원
[해외주식] 기본시세,해외주식 현재가 호가,해외주식-033,GET,/uapi/overseas-price/v1/quotations/inquire-asking-price,HHDFS76200100,모의투자 미지원
[해외주식] 기본시세,해외주식 현재가상세,v1_해외주식-029,GET,/uapi/overseas-price/v1/quotations/price-detail,HHDFS76200200,모의투자 미지원
[해외주식] 기본시세,해외주식 현재체결가,v1_해외주식-009,GET,/uapi/overseas-price/v1/quotations/price,HHDFS00000300,HHDFS00000300
